end_year,YEAR,age_bin,total_hh,total_hh_se,total_persons,total_persons_se,hr,target_hr,target_hh,missing_hh
2015,2000,"[15,20)",11631,551.2407019922349,282091,2665.179428745548,0.04123137569082318,0.03440765266640974,9706.089148320189,-1924.9108516798115
2015,2000,"[20,25)",93236,1569.5712985723978,284328,2742.836929383589,0.32791705354379447,0.308675803540398,87765.17386903428,-5470.826130965725
2015,2000,"[25,30)",151185,1977.6022930051706,322469,2889.780564631674,0.4688357640579405,0.459523342187128,148182.03263174096,-3002.9673682590364
2015,2000,"[30,35)",167798,2055.667019950711,322698,2852.9769667121727,0.5199846295917545,0.5195428880104238,167655.45087518773,-142.54912481227075
2015,2000,"[35,40)",198310,2229.7319122367167,364421,3018.2988858777144,0.5441782992747399,0.5403383706183326,196910.64935910338,-1399.3506408966205
2015,2000,"[40,45)",209029,2273.6933967000873,368546,3010.576105885072,0.56717207621301,0.5676904858084848,209220.05778277383,191.0577827738307
2015,2000,"[45,50)",191744,2139.788396715764,331955,2822.7487621374908,0.5776204606046,0.5742919365315647,190639.07979133556,-1104.9202086644364
2015,2000,"[50,55)",163782,1977.4667942655155,274490,2555.6514938025553,0.5966774745892383,0.5842969783682872,160383.67759231114,-3398.322407688858
2015,2000,"[55,60)",115388,1640.4727586349031,191970,2110.834065865146,0.6010730843360942,0.5971130348199094,114627.789294378,-760.2107056219975
2015,2000,"[60,65)",85692,1399.7316157614287,140317,1798.4291266812945,0.6107029084145186,0.6028912310057017,84595.88886102705,-1096.1111389729485
2015,2000,"[65,Inf)",268845,2450.912669120872,395072,2971.4611814146333,0.6804962133484529,0.6501144584130709,256842.01931416875,-12002.980685831251
2015,2001,"[15,20)",13036,2602.5407995979986,289376,10058.863942475708,0.04504865641932987,0.03440765266640974,9956.748897994985,-3079.251102005015
2015,2001,"[20,25)",106898,6890.6730147663,283609,10996.987567585602,0.3769203375069197,0.308675803540398,87543.23596628873,-19354.764033711268
2015,2001,"[25,30)",175481,8784.191418399223,319099,11568.248949054916,0.5499265118348851,0.459523342187128,146633.43896857035,-28847.56103142965
2015,2001,"[30,35)",187201,8542.163819175508,342392,11500.657035473185,0.5467446669314704,0.5195428880104238,177887.32851166502,-9313.671488334978
2015,2001,"[35,40)",190066,8067.936353853631,354153,11083.85398131513,0.5366776506199298,0.5403383706183326,191362.45496959434,1296.4549695943424
2015,2001,"[40,45)",219157,8820.159526893429,370782,11342.149073539636,0.5910669881493708,0.5676904858084848,210489.4137090416,-8667.586290958396
2015,2001,"[45,50)",210234,8197.497654365823,343910,10341.837117278354,0.6113052833590183,0.5742919365315647,197504.73989257042,-12729.260107429582
2015,2001,"[50,55)",178492,7279.184169376184,292509,9143.820791806362,0.6102102841280097,0.5842969783682872,170912.12484552932,-7579.875154470676
2015,2001,"[55,60)",125110,5999.628900041503,210804,7777.300504476223,0.5934896871027115,0.5971130348199094,125873.81619217618,763.8161921761784
2015,2001,"[60,65)",88267,4934.57586048267,144669,6236.829429598713,0.6101307121774534,0.6028912310057017,87219.67149836387,-1047.3285016361333
2015,2001,"[65,Inf)",266054,8045.971871132304,399677,9908.621875162018,0.665672530568434,0.6501144584130709,259835.79639516096,-6218.203604839044
2015,2002,"[15,20)",16698,3150.2322884607706,296200,11086.184446654115,0.05637407157326131,0.03440765266640974,10191.546719790564,-6506.453280209436
2015,2002,"[20,25)",105540,7431.678218307902,295177,12162.06717132999,0.357548182954634,0.308675803540398,91113.99766164405,-14426.002338355946
2015,2002,"[25,30)",148876,8428.578396688386,318219,12446.549495462978,0.46784132939893597,0.459523342187128,146229.05842744568,-2646.941572554322
2015,2002,"[30,35)",193838,9659.281840149139,351839,12608.602208938104,0.5509281233746117,0.5195428880104238,182795.4501746995,-11042.549825300492
2015,2002,"[35,40)",183128,9046.42478778602,333504,11902.18388325267,0.54910285933602,0.5403383706183326,180205.0079546964,-2922.992045303603
2015,2002,"[40,45)",214671,9163.819846472583,383850,12350.57982181624,0.5592575224697147,0.5676904858084848,217907.9929775869,3236.992977586895
2015,2002,"[45,50)",222846,9301.299431560969,365324,11716.767632447065,0.6099955108342184,0.5742919365315647,209802.62742145735,-13043.37257854265
2015,2002,"[50,55)",176335,7551.798112253658,302635,9953.950291373518,0.5826655872585789,0.5842969783682872,176828.7160484866,493.716048486589
2015,2002,"[55,60)",144680,7100.546672413823,231020,8780.195223544762,0.6262661241450956,0.5971130348199094,137945.05330409546,-6734.9466959045385
2015,2002,"[60,65)",95541,5605.783620219149,161006,7266.525187940451,0.593400245953567,0.6028912310057017,97069.10553930402,1528.105539304015
2015,2002,"[65,Inf)",275195,8725.06043218847,408614,10850.00301303767,0.6734840215949527,0.6501144584130709,265645.8693099986,-9549.130690001417
2015,2003,"[15,20)",12719,2394.6284369821506,296947,10501.603669743283,0.042832559345607125,0.03440765266640974,10217.249236332373,-2501.7507636676273
2015,2003,"[20,25)",106233,7239.298563508558,305161,11802.551016979127,0.34812115571780144,0.308675803540398,94195.81688419139,-12037.183115808613
2015,2003,"[25,30)",154629,8625.349470513982,338810,12788.350412551394,0.4563885363478056,0.459523342187128,155691.10356642082,1062.1035664208175
2015,2003,"[30,35)",211442,9837.344023176296,357835,12459.351354865319,0.5908924504310646,0.5195428880104238,185910.62933121002,-25531.370668789983
2015,2003,"[35,40)",179801,8165.668651996202,335620,11221.147374313878,0.5357279065609916,0.5403383706183326,181348.36394692477,1547.3639469247719
2015,2003,"[40,45)",221403,9143.033958476357,374324,11553.80008239447,0.5914742308802,0.5676904858084848,212500.17340977528,-8902.826590224722
2015,2003,"[45,50)",216439,8574.269764882703,358971,10918.36230733486,0.6029428561081536,0.5742919365315647,206154.1507486723,-10284.849251327687
2015,2003,"[50,55)",177656,7440.744172389614,302103,9743.855814480949,0.5880643356735947,0.5842969783682872,176517.87005599466,-1138.1299440053408
2015,2003,"[55,60)",137579,6181.747987588088,235949,8107.887061693493,0.583087870683919,0.5971130348199094,140888.2234527228,3309.2234527227993
2015,2003,"[60,65)",100948,5350.609240481727,163657,6783.6946266797295,0.6168266557495249,0.6028912310057017,98667.37019270012,-2280.629807299876
2015,2003,"[65,Inf)",281697,8828.45950886623,420597,10670.857137630299,0.6697551337741353,0.6501144584130709,273436.1908651624,-8260.80913483759
2015,2004,"[15,20)",13717,2509.4697766525896,293212,10355.100826345084,0.04678185067459722,0.03440765266640974,10088.736653623331,-3628.263346376669
2015,2004,"[20,25)",126855,7683.124393059918,328983,11878.574220815573,0.38559743208615643,0.308675803540398,101549.09187613074,-25305.90812386926
2015,2004,"[25,30)",164274,8674.716041452346,330409,12160.41248529376,0.4971837934196708,0.459523342187128,151830.64796870676,-12443.352031293238
2015,2004,"[30,35)",196046,9075.417877776748,355378,12093.793326839752,0.5516548576445363,0.5195428880104238,184634.1124553684,-11411.887544631609
2015,2004,"[35,40)",175289,8222.226548240327,324364,11169.764251268443,0.5404083067171449,0.5403383706183326,175266.3152472448,-22.68475275518722
2015,2004,"[40,45)",229265,9288.46978962252,382935,11727.351440771085,0.5987047410134879,0.5676904858084848,217388.55618307213,-11876.443816927873
2015,2004,"[45,50)",205617,8344.027971867034,348025,10799.573277659354,0.5908110049565405,0.5742919365315647,199867.95121139783,-5749.048788602173
2015,2004,"[50,55)",187412,7629.358700320958,308448,9794.06516532067,0.607596742400664,0.5842969783682872,180225.23438374145,-7186.765616258548
2015,2004,"[55,60)",146973,6318.130188558046,237400,7989.894055142042,0.6190943555181129,0.5971130348199094,141754.6344662465,-5218.365533753502
2015,2004,"[60,65)",103708,5444.36435393392,176030,7009.402393131285,0.5891495767766858,0.6028912310057017,106126.94339393367,2418.943393933674
2015,2004,"[65,Inf)",288196,8898.168513533848,431351,10869.790154581586,0.6681241031086053,0.6501144584130709,280427.5217509366,-7768.478249063424
2015,2005,"[15,20)",13231,1730.6664747611062,302352,7000.385771264265,0.043760252950203735,0.03440765266640974,10403.222598994316,-2827.7774010056837
2015,2005,"[20,25)",107374,4663.890837983933,305760,7878.819876908904,0.35117085295656725,0.308675803540398,94380.71369051209,-12993.286309487914
2015,2005,"[25,30)",175904,6349.17557752466,347693,8626.212551064202,0.5059175767127897,0.459523342187128,159773.04941506908,-16130.95058493092
2015,2005,"[30,35)",196604,6364.846701066045,353914,8373.934910716347,0.5555134863271868,0.5195428880104238,183873.50166732114,-12730.498332678864
2015,2005,"[35,40)",191185,5938.370690665569,342380,7789.964905187038,0.5584000233658508,0.5403383706183326,185001.0513323047,-6183.948667695309
2015,2005,"[40,45)",210270,5887.768627113438,363855,7690.214325615004,0.5778950406068352,0.5676904858084848,206557.02171384625,-3712.9782861537533
2015,2005,"[45,50)",208067,5434.336977021837,356854,7053.19082425407,0.5830591782633794,0.5742919365315647,204938.374719035,-3128.625280965003
2015,2005,"[50,55)",185717,4967.972167704278,311460,6435.734694377467,0.5962788158993129,0.5842969783682872,181985.13688258672,-3731.863117413275
2015,2005,"[55,60)",162809,4482.586177391413,265202,5619.9098863113395,0.6139056266543993,0.5971130348199094,158355.57106030962,-4453.428939690377
2015,2005,"[60,65)",109693,3455.536934734118,173893,4230.0196100974945,0.6308074505586769,0.6028912310057017,104838.56483327449,-4854.4351667255105
2015,2005,"[65,Inf)",291921,5784.180063292813,442654,7038.38084183027,0.6594789609943658,0.6501144584130709,287775.76547437947,-4145.23452562053
2015,2006,"[15,20)",9028,1200.287269405274,305040,6630.789711402307,0.029596118541830578,0.03440765266640974,10495.710369361626,1467.7103693616264
2015,2006,"[20,25)",96718,4182.220888420009,321293,7988.947990794454,0.3010274111169556,0.308675803540398,99175.37494690508,2457.3749469050817
2015,2006,"[25,30)",167103,5410.994686336434,355895,8268.480102209276,0.4695289340957305,0.459523342187128,163542.0598676879,-3560.9401323120983
2015,2006,"[30,35)",177993,5349.447521863419,343786,7709.811370437598,0.517743596307005,0.5195428880104238,178611.57129755156,618.5712975515635
2015,2006,"[35,40)",191476,5379.4154606772745,350954,7200.182583213587,0.545587170968275,0.5403383706183326,189633.9125219863,-1842.0874780137092
2015,2006,"[40,45)",206788,5564.950296029472,359310,7251.584706180421,0.5755141799560268,0.5676904858084848,203976.86845584668,-2811.1315441533225
2015,2006,"[45,50)",214162,5370.435601254462,369889,7045.884017952395,0.5789899131901732,0.5742919365315647,212424.27011172395,-1737.7298882760515
2015,2006,"[50,55)",193621,4759.09271589365,331102,6218.733129286592,0.5847775005889424,0.5842969783682872,193461.89813169662,-159.10186830337625
2015,2006,"[55,60)",175603,4522.741062904961,280889,5690.642727527804,0.6251686609301184,0.5971130348199094,167722.48323752952,-7880.516762470477
2015,2006,"[60,65)",124014,3715.544231016509,210051,4894.223319694949,0.5903994744133567,0.6028912310057017,126637.90596397866,2623.9059639786574
2015,2006,"[65,Inf)",293389,5430.641759541939,455660,6896.059981273693,0.6438770135627442,0.6501144584130709,296231.1541204999,2842.1541204999085
2015,2007,"[15,20)",10187,1281.285588025729,303660,6545.983326012121,0.03354738852664164,0.03440765266640974,10448.22780868198,261.2278086819806
2015,2007,"[20,25)",92027,3908.8954631076504,317728,7673.246343357945,0.289640824856481,0.308675803540398,98074.94570728356,6047.945707283565
