YEAR,msa,HH,NEWHH,MISSINGHH,housing_units_seasonal,housing_units_uninhabitable,housing_units_vacant,housing_units,vacancy_rate,necessary_units,available_units,underproduction
2008,"Colorado Springs, CO",222039,229979.23978540752,7940.239785407522,2071,640,16632,246193,0.06755675425377651,242083.41030042898,243482,-1398.589699571021
2008,"Denver-Aurora-Lakewood, CO",977956,1012775.6758144571,34819.67581445712,7468,3467,51421,1058306,0.04858802652540947,1066079.6587520603,1047371,18708.658752060262
2008,"Fort Collins, CO",113227,116275.68572549449,3048.6857254944853,1160,192,3685,118856,0.03100390388369119,122395.45865841526,117504,4891.458658415257
2008,"Grand Junction, CO",55763,57947.81897771451,2184.8189777145076,245,NA,1352,57939,0.023334886691175203,60997.70418706791,57694,3303.7041870679095
2008,"Greeley, CO",85994,88994.92476101848,3000.924761018489,651,542,4478,93996,0.04764032512021788,93678.86816949314,92803,875.8681694931438
2008,Not in identifiable area,386674,400700.141853874,14026.141853874029,86613,1481,22566,513079,0.04398153110924439,421789.62300407793,424985,-3195.3769959220663
2008,"Pueblo, CO",56989,57924.06661709786,935.0666170978568,290,500,3239,63755,0.05080385852090032,60972.70170220827,62965,-1992.2982977917272
2009,"Colorado Springs, CO",227166,233442.6999428143,6276.6999428143135,3615,106,12561,247623,0.05072630571473571,245729.15783454137,243902,1827.1578345413727
2009,"Denver-Aurora-Lakewood, CO",978515,1024030.7832576096,45515.783257609546,11279,4067,53114,1063716,0.04993250078028346,1077927.140271168,1048370,29557.14027116797
2009,"Fort Collins, CO",111661,114490.86335572998,2829.863355729978,1703,218,5401,120361,0.0448733393707264,120516.69826918945,118440,2076.698269189452
2009,"Grand Junction, CO",55181,57624.3322562966,2443.332256296599,822,NA,1315,58206,0.022592172628251382,60657.191848733266,57384,3273.191848733266
2009,"Greeley, CO",86074,92748.95255580024,6674.952555800232,238,529,6072,94504,0.06425124862439685,97630.47637452657,93737,3893.4763745265664
2009,Not in identifiable area,394090,408138.0563613989,14048.056361398909,85738,1554,24098,519218,0.04641210435693678,429619.00669620937,431926,-2306.9933037906303
2009,"Pueblo, CO",57486,58690.072435876245,1204.0724358762477,673,464,3372,64274,0.05246289323832343,61779.02361671184,63137,-1357.976383288158
2010,"Colorado Springs, CO",235116,243649.5901909334,8533.590190933397,1501,483,13302,253120,0.052552149178255375,256473.2528325615,251136,5337.2528325614985
2010,"Denver-Aurora-Lakewood, CO",1007898,1041788.0750164554,33890.075016455434,10767,4903,46958,1082269,0.043388473660430076,1096619.026333111,1066599,30020.026333111105
2010,"Fort Collins, CO",112902,116459.32037327236,3557.320373272358,2481,441,4442,122002,0.03640923919280012,122588.75828765513,119080,3508.7582876551314
2010,"Grand Junction, CO",55778,58498.37288423818,2720.3728842381806,1305,258,1776,60582,0.02931563830840844,61577.23461498757,59019,2558.2346149875666
2010,"Greeley, CO",89127,90810.77320125508,1683.7732012550887,104,358,3656,96459,0.03790211385148094,95590.28758026852,95997,-406.71241973148426
2010,Not in identifiable area,399736,409249.7624510097,9513.762451009714,89880,3692,26970,534092,0.050496918133954447,430789.22363264184,440520,-9730.776367358165
2010,"Pueblo, CO",60085,62222.49361865495,2137.493618654955,384,695,3600,65738,0.05476284645106331,65497.361703847324,64659,838.361703847324
2011,"Colorado Springs, CO",237721,248167.79925683435,10446.799256834347,2295,912,9525,254569,0.03741618186032078,261229.2623756151,251362,9867.2623756151
2011,"Denver-Aurora-Lakewood, CO",1011853,1056194.114268448,44341.11426844792,10752,5815,43777,1083819,0.04039143067246468,1111783.2781773137,1067252,44531.27817731374
2011,"Fort Collins, CO",115112,119699.72133293566,4587.721332935654,1128,236,2643,121200,0.021806930693069305,125999.70666624806,119836,6163.706666248065
2011,"Grand Junction, CO",58595,59005.08001553642,410.0800155364211,826,85,1211,61503,0.019690096418060906,62110.61054266992,60592,1518.6105426699214
2011,"Greeley, CO",90461,92384.20999345831,1923.2099934583102,829,214,2841,97039,0.02927688867362607,97246.53683521927,95996,1250.5368352192745
