YEAR,msa,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se,housing_units_seasonal,housing_units_seasonal_se,housing_units_uninhabitable,housing_units_uninhabitable_se,housing_units_vacant,housing_units_vacant_se,housing_units,housing_units_se,vacancy_rate,necessary_units,necessary_units_se,available_units,available_units_se,underproduction,underproduction_se
2006,"Grand Junction, CO",52954,2681.0757709349186,54051.01261438726,2566.239483164386,1097.012614387259,3711.3006311057698,368,295.48928436110515,NA,NA,850,403.41918191828876,55597,2779.273079635719,0.015288594708347572,56895.802751986594,4819.3883203949645,55229,2794.9369882628935,1666.8027519865936,5571.191663470164
2006,"Greeley, CO",81311,3263.5846100688395,85416.76660381994,2858.144609468002,4105.76660381994,4338.199524654114,988,477.4732578599849,NA,NA,6325,1145.6598041502125,90301,3540.3901416888543,0.07004352111272301,89912.38589875783,5714.438109397596,89313,3572.442171307893,599.3858987578278,6739.224434122567
2006,Not in identifiable area,378833,7295.441877315961,392111.43855192047,7019.664882810231,13278.43855192047,10124.187239095028,81040,4133.133069244671,1597,514.1722128015516,25457,2290.021472288761,499918,8791.62723237809,0.05092235126560756,412748.8826862321,13135.671314121393,417281,9728.3025973493,-4532.1173137679,16345.816966374754
2006,"Pueblo, CO",56747,2680.901182077836,58889.3539303605,2547.0828069212416,2142.3539303605016,3697.9537549001516,744,362.13709118500196,248,247.99999999593066,3969,931.7571436129296,63059,2917.042319970209,0.06294105520227089,61988.79361090579,4807.898985559322,62067,2949.878500770344,-78.20638909420813,5640.715896466462
2007,"Colorado Springs, CO",217038,5261.568391089278,224155.63378870988,5066.205313145817,7117.633788709885,7304.145275736012,3167,798.0356064510014,NA,NA,18679,2054.810843150254,243600,5795.955112399476,0.07667898193760263,235953.29872495777,9475.709733359134,240433,5850.637272478379,-4479.701275042229,11136.38322998047
2007,"Denver-Aurora-Lakewood, CO",960987,11477.89257295026,999539.0765723422,10962.073512763927,38552.076572342165,15871.643696083505,8009,1229.4076512289528,1013,408.1782946268038,56342,3580.6794125826464,1044751,12192.542110191915,0.0539286394557172,1052146.3963919391,20617.908777611257,1035729,12261.16372135646,16417.39639193914,23988.211649971057
2007,"Fort Collins, CO",106586,3780.0447927426476,109926.71341081677,3551.405598326266,3340.7134108167675,5186.638637784972,1435,511.7635252422317,NA,NA,6472,1306.078414694984,116979,4109.602880454319,0.05532616965438241,115712.32990612292,6755.726738166732,115544,4141.344919323527,168.32990612291906,7924.050826539902
2007,"Grand Junction, CO",53193,2705.6687548249442,54616.6561690567,2485.7389309870996,1423.6561690567069,3674.172212058228,383,233.6125883096273,NA,NA,1315,540.9219229409887,56977,2847.193716246174,0.02307948821454271,57491.21702005969,4803.067447237354,56594,2856.7616105038273,897.2170200596884,5588.429457545257
2007,"Greeley, CO",85764,3555.529914914175,89118.98289266492,3177.5849182141005,3354.982892664919,4768.525861134793,678,403.36768429356493,226,226.00000000316268,5367,1114.7302587194315,92599,3756.890933778463,0.05795958919642761,93809.4556764894,6261.223218587251,91695,3785.235920922313,2114.4556764893932,7316.483251536676
2007,Not in identifiable area,381476,7428.029400514945,395390.0759038641,7178.729388689212,13914.075903864104,10330.042420578175,82334,4106.582355233083,2170,670.737405984947,25972,2396.617743000477,509684,9018.24428390432,0.05095706359234349,416200.07989880437,13393.07288541249,425180,9931.899982997817,-8979.920101195632,16673.8429459511
2007,"Pueblo, CO",56152,2705.197916560054,57440.13671256997,2565.970434049245,1288.1367125699674,3728.57882257781,623,362.1278193820151,NA,NA,3946,912.9362673749841,62768,2946.410397333686,0.06286642875350497,60463.30180270523,4849.010614329471,62145,2968.580601413144,-1681.6981972947688,5685.540847181233
