msa,AGEGROUP,MET2013,NEWHR,PUMA,age_dummy,YEAR,NEWHH_,NEWHH__se,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se
"Colorado Springs, CO","[25,30)",17820,0.48628691983122363,901,TRUE,2005,3579.071729957806,571.033525315158,3910,851.6372835307694,3910,851.6372835307694,0,1204.396996591795
"Colorado Springs, CO","[25,30)",17820,0.48628691983122363,902,TRUE,2005,3098.6202531645567,506.31755497747355,3613,846.4392149243901,3613,846.4392149243901,0,1197.0458174705075
"Colorado Springs, CO","[25,30)",17820,0.48628691983122363,903,TRUE,2005,3695.7805907172997,516.0797330826138,4243,794.0995580572126,4243,794.0995580572126,0,1123.026364878991
"Colorado Springs, CO","[25,30)",17820,0.48628691983122363,904,TRUE,2005,5841.278481012659,836.5573828675438,7402,1504.1916224722193,7402,1504.1916224722193,0,2127.248192908203
"Colorado Springs, CO","[25,30)",17820,0.48628691983122363,905,TRUE,2005,5130.327004219409,685.455597626281,5078,1013.1183760341336,5130.327004219409,685.455597626281,52.32700421940899,1223.216342343104
"Colorado Springs, CO","[30,35)",17820,0.5075202055344431,901,TRUE,2005,3915.010865492694,557.9854629341745,3814,855.129393007689,3915.010865492694,557.9854629341745,101.01086549269394,1021.0749510352135
"Colorado Springs, CO","[30,35)",17820,0.5075202055344431,902,TRUE,2005,3735.8562329390356,762.0118667951351,4879,1378.7312293443842,4879,1378.7312293443842,0,1949.8204034061584
"Colorado Springs, CO","[30,35)",17820,0.5075202055344431,903,TRUE,2005,2703.5601348819782,470.6193086781462,3095,706.2761548584137,3095,706.2761548584137,0,998.8253169814891
"Colorado Springs, CO","[30,35)",17820,0.5075202055344431,904,TRUE,2005,6448.044211315099,706.236404392621,7276,1119.3134744993235,7276,1119.3134744993235,0,1582.9482961838949
"Colorado Springs, CO","[30,35)",17820,0.5075202055344431,905,TRUE,2005,4635.689557351603,801.8768113320515,6323,1422.2438323315757,6323,1422.2438323315757,0,2011.3565166848007
"Colorado Springs, CO","[35,40)",17820,0.5460832957450007,901,TRUE,2005,4694.132010224026,554.598958685531,4113,690.8171592349607,4694.132010224026,554.598958685531,581.1320102240261,885.8940977727171
"Colorado Springs, CO","[35,40)",17820,0.5460832957450007,902,TRUE,2005,3218.068861825289,514.9385626571262,3897,784.5067760520506,3897,784.5067760520506,0,1109.4601224664023
"Colorado Springs, CO","[35,40)",17820,0.5460832957450007,903,TRUE,2005,3663.6728311532097,757.4095066986889,4520,1282.0290262488356,4520,1282.0290262488356,0,1813.062836277076
"Colorado Springs, CO","[35,40)",17820,0.5460832957450007,904,TRUE,2005,6612.522628176213,655.8347229650393,7063,952.3310400057571,7063,952.3310400057571,0,1346.7994726450163
"Colorado Springs, CO","[35,40)",17820,0.5460832957450007,905,TRUE,2005,3191.856863629529,521.6486557973149,3055,665.5630189143328,3191.856863629529,521.6486557973149,136.85686362952902,845.6308013793644
"Colorado Springs, CO","[40,45)",17820,0.5723998064114678,901,TRUE,2005,5241.4650273098105,565.5191473908425,4851,713.1377895536879,5241.4650273098105,565.5191473908425,390.46502730981047,910.1524119372455
"Colorado Springs, CO","[40,45)",17820,0.5723998064114678,902,TRUE,2005,4541.992463874997,550.7423460878637,5300,841.825378321495,5300,841.825378321495,0,1190.5208671721198
"Colorado Springs, CO","[40,45)",17820,0.5723998064114678,903,TRUE,2005,2864.8610310893964,388.80972805216305,2693,511.4072134081264,2864.8610310893964,388.80972805216305,171.86103108939642,642.4253595195802
"Colorado Springs, CO","[40,45)",17820,0.5723998064114678,904,TRUE,2005,7120.081191952248,688.6137606707765,6721,881.9636509333262,7120.081191952248,688.6137606707765,399.08119195224845,1118.949861679598
"Colorado Springs, CO","[40,45)",17820,0.5723998064114678,905,TRUE,2005,5168.770251895555,1026.9504702058503,5244,1484.4417162984073,5244,1484.4417162984073,0,2099.317607741602
